value,trait_type,asset_id
Dark Blue Eyes,Eyes,40
Pink Punk Hair,Hair,40
Death Queen,Hat,40
Black Glasses,Eyewear,41
Butterfly Hair,Hair,41
Open Smile,Mouth,41
Tanline,Skin,41
Gun,Weapon,41
White Hole,Background,41
Pilot Dress,Clothes,41
Shy Blue Eyes,Eyes,41
Grey Heart Glasses,Eyewear,42
Pink Flowy Hair,Hair,42
Lip Bite Red,Mouth,42
Dark,Skin,42
Magic Heart Wand,Weapon,42
Grey Gradient,Background,42
Messy Student,Clothes,42
Vampire Eyes,Eyes,42
Smooch Lips,Mouth,43
Dark,Skin,43
Samurai,Clothes,43
Red Ribbon,Hat,43
Shades,Eyewear,43
Red Ring Ponytail,Hair,43
Syringe,Weapon,43
White,Background,43
Psycho Eyes,Eyes,43
Cute Brown Eyes,Eyes,44
Blonde Flowy Hair,Hair,44
Soft Pink Grin,Mouth,44
Light,Skin,44
Golden Wings,Weapon,44
Crimson Hole,Background,44
White Star Dress,Clothes,44
Shy Blue Eyes,Eyes,45
VR,Eyewear,45
Blonde Flowy Hair,Hair,45
Toast,Mouth,45
Bloody Pale,Skin,45
Devil Wings,Weapon,45
Pink Gradient,Background,45
Dark Heart Maid,Clothes,45
Cute Dark Eyes,Eyes,46
Round Glasses,Eyewear,46
Mecha Pilot Twintails,Hair,46
Vampire Cute Grin,Mouth,46
Light,Skin,46
Devil Wings,Weapon,46
GF Heart White,Background,46
Quinn Dress,Clothes,46
Twin Ponytails,Hair,47
Silver Halo,Hat,47
Open Smile Red Vamp,Mouth,47
Light,Skin,47
Dual Wield,Weapon,47
Crimson Ripple,Background,47
Agent Outfit,Clothes,47
Psycho Eyes,Eyes,47
Dark,Skin,48
Devil Wings,Weapon,48
Pink Gradient,Background,48
Pink Student,Clothes,48
Closed,Eyes,48
Long Silver Hairclip Bangs,Hair,48
Devil White Horns,Hat,48
Lip Bite Pink,Mouth,48
Bloody Light,Skin,49
Katana,Weapon,49
White KGF Pattern,Background,49
Grey Hoodie,Clothes,49
Devil Pink Eyes,Eyes,49
Red Short Bangs,Hair,49
Open Smile Red Vamp,Mouth,49
Black Zipper Top,Clothes,50
Red Glasses,Eyewear,50
Pink Gradient,Background,50
Dark Short Wavy Hair,Hair,50
White Devil Wings,Hat,50
Vampire Cute Grin,Mouth,50
Bloody Dark,Skin,50
Red Rocket,Weapon,50
Vampire Eyes,Eyes,50
Scouter,Eyewear,51
Dreadlock Hair,Hair,51
Black Ribbon,Hat,51
Chosen Sword,Weapon,51
Pink Eyes,Eyes,51
Dark Heart Maid,Clothes,51
uwu,Mouth,51
Tanline,Skin,51
Purple Solid,Background,51
Grey Gradient,Background,52
GM GN Fur,Clothes,52
White Glow Eyes,Eyes,52
Black Glasses,Eyewear,52
Mecha Pilot Twintails,Hair,52
Red Lick,Mouth,52
Tanline,Skin,52
Gatling Gun,Weapon,52
Pale,Skin,53
Devil Spears,Weapon,53
Black Gradient,Background,53
Grey Hoodie,Clothes,53
Pink Eyes,Eyes,53
Eye Patch White,Eyewear,53
Neko Hair,Hair,53
One Side Grin,Mouth,53
Light,Skin,54
Katana,Weapon,54
White,Background,54
Devil Hunter Jacket,Clothes,54
Devil Red Eyes,Eyes,54
Eye Patch White,Eyewear,54
Red Devil Braids,Hair,54
One Side Grin,Mouth,54
Grey Heart Glasses,Eyewear,55
Purple Ponytail,Hair,55
Closed Smile Red,Mouth,55
Tanline,Skin,55
Butterfly Effect,Weapon,55
Grey Gradient,Background,55
Samurai,Clothes,55
Cute Angry Eyes,Eyes,55
Devil Scythe,Weapon,56
White Hole,Background,56
Pink Student,Clothes,56
Dark Glow Eyes,Eyes,56
Long Dark Hair,Hair,56
Silver Cybermask,Mouth,56
Light,Skin,56
Red Mekanizer Armor,Clothes,57
Sharp Blue Eyes,Eyes,57
Blue Fade Hair,Hair,57
Red Mekanizer Hat,Hat,57
Tongue out,Mouth,57
Light,Skin,57
Chainsaw,Weapon,57
Dark Gradient,Background,57
VR,Eyewear,58
Dark Devil Braids,Hair,58
Red Lick,Mouth,58
Bloody Tanline,Skin,58
Devil Spears,Weapon,58
White KGF Pattern,Background,58
Pink Student,Clothes,58
Cute Dark Eyes,Eyes,58
Lip Bite Red,Mouth,59
Tanline,Skin,59
Dark Gradient,Background,59
Punk Bot Shirt,Clothes,59
Shy Blue Eyes,Eyes,59
Scouter,Eyewear,59
Pink Ribbon Twintails,Hair,59
Crimson Mouse,Hat,59
Sayanaura,Weapon,59
Light,Skin,60
AR-15,Weapon,60
White,Background,60
Android Dress,Clothes,60
Spiral Prism Eyes,Eyes,60
Long Blue Hairclip Bangs,Hair,60
Red Ribbon,Hat,60
Shark Smile,Mouth,60
Vampire Eyes,Eyes,61
Short Pink Hair,Hair,61
Red Lick,Mouth,61
Pale,Skin,61
Chainsaw,Weapon,61
Dark Gradient,Background,61
Nurse,Clothes,61
Closed Smile Pink,Mouth,62
Dark,Skin,62
Sayanaura,Weapon,62
Crimson Ripple,Background,62
Saber Suit,Clothes,62
Doll Eyes,Eyes,62
Blue Fishpin Hair,Hair,62
Pulled Up Goggles,Hat,62
Short Pink Hair,Hair,63
Black Ribbon,Hat,63
Toast,Mouth,63
Light,Skin,63
Double Katana,Weapon,63
Crimson Ripple,Background,63
Nyan Kitty,Clothes,63
Pink Eyes,Eyes,63
Floating Knives,Weapon,64
White Hole,Background,64
Kunai Pencil,Clothes,64
Heterochromia,Eyes,64
Scouter,Eyewear,64
Rockstar Hair,Hair,64
Bubblegum,Mouth,64
Bloody Dark,Skin,64
White Turtleneck,Clothes,65
Long Dark Bangs,Hair,65
White Devil Wings,Hat,65
Dark,Skin,65
Crimson Explosion,Background,65
Shy Light Blue,Eyes,65
Red Glasses,Eyewear,65
Ninja Headband,Mouth,65
Spirit Fire,Weapon,65
Vampblade,Weapon,66
Crimson Hole,Background,66
Grey Hoodie,Clothes,66
Vampire Eyes,Eyes,66
Round Glasses,Eyewear,66
Light Buns,Hair,66
Dark Frown,Mouth,66
Dark,Skin,66
Blue Open Mouth,Mouth,67
Light,Skin,67
Spectral Pink Blades,Weapon,67
KGF Pattern,Background,67
Trigger Happy,Clothes,67
Spiral Prism Eyes,Eyes,67
Blue Fade Hair,Hair,67
Snaggle Tooth,Mouth,68
Dual Wield,Weapon,68
Dark Gradient,Background,68
Pencil Black,Clothes,68
Dark Hairclip Bangs,Hair,68
Silver Halo,Hat,68
Pink Eyes,Eyes,68
Pink Glasses,Eyewear,68
Light,Skin,68
One Side Grin,Mouth,69
Dark,Skin,69
Double Katana,Weapon,69
GF Heart Invert,Background,69
Racer Blue,Clothes,69
Cute Angry Eyes,Eyes,69
Scouter,Eyewear,69
Short Bangs with Earrings,Hair,69
Purple Gradient,Background,70
Android Eyemask,Eyewear,70
Black Ribbon,Hat,70
Blue Lick,Mouth,70
Dual Saber,Weapon,70
Pilot Dress,Clothes,70
White Glow Eyes,Eyes,70
Blue Fade Hair,Hair,70
Bloody Light,Skin,70
Maniac Hair,Hair,71
Devil Red Horns,Hat,71
One Side Grin,Mouth,71
Light,Skin,71
AR-15,Weapon,71
Crimson Gradient,Background,71
HODL Jacket,Clothes,71
Pink Eyes,Eyes,71
Shades,Eyewear,72
Red Devil Braids,Hair,72
Open Smile Red Vamp,Mouth,72
Bloody Light,Skin,72
Oniblade,Weapon,72
Black Gradient,Background,72
Devil Hunter Jacket,Clothes,72
Dark Glow Eyes,Eyes,72
Dark,Skin,73
Spirit Fire,Weapon,73
Black Gradient,Background,73
Devil Hunter Jacket,Clothes,73
Cute Angry Eyes,Eyes,73
Pink Ribbon Twintails,Hair,73
Crimson Mouse,Hat,73
Ring,Mouth,73
Jester Eyes,Eyes,74
Red Devil Braids,Hair,74
Bleed,Mouth,74
Light,Skin,74
Katana,Weapon,74
White,Background,74
Red Death,Clothes,74
Doll Eyes,Eyes,75
Phantom Thief,Eyewear,75
Black Ribbon,Hat,75
Bloody Dark,Skin,75
Grey Gradient,Background,75
Black Zipper Top,Clothes,75
