transaction_hash,block_number,date,asset_id,seller,buyer,maker,taker,sale_price_eth,sale_price_usd,tokens_sold
0xeeb88a1be2c40826a4316058ec79809a28c5c2acae713a16c9e3671e96bbbe41,14372818,2022-03-12,1,0x2cb0a4244bbb83e48cae706b206ea1c34143650a,0x8a6df05f0a5408d078f04e4586674f59b9a13e48,0x2cb0a4244bbb83e48cae706b206ea1c34143650a,0x8a6df05f0a5408d078f04e4586674f59b9a13e48,0.0589,150.95082562326834,1
0x3a32436e49fe7b013663186daddbe5cfb53f95d0c9672f18cfc0ad8f732562dc,14372805,2022-03-12,1,0x15b090622d4e8aa53e59db497849acb6fe72a9b7,0xe82fd79b9769d4a89e570e716e004c9ddfb74a55,0x15b090622d4e8aa53e59db497849acb6fe72a9b7,0xe82fd79b9769d4a89e570e716e004c9ddfb74a55,0.0588,150.69454238791474,1
0xff8e83a7eaef10912eb2c63b00b0b3c7fefa928048c21889be9112b306a58ba1,14372784,2022-03-12,1,0xf834753cd273d1364cb9a4c62324e06a59229190,0x5864e94eaf9d172986e97f0573c6183c5f8aec12,0xf834753cd273d1364cb9a4c62324e06a59229190,0x5864e94eaf9d172986e97f0573c6183c5f8aec12,0.0588,150.69454238791474,1
0x95c2801caff4066931c0560e6ee37a30347f6747702c3374b69812a1e19df95a,14372777,2022-03-12,1,0x33a107df65b0e7652e019f0e3a5cae235e56e972,0x5864e94eaf9d172986e97f0573c6183c5f8aec12,0x33a107df65b0e7652e019f0e3a5cae235e56e972,0x5864e94eaf9d172986e97f0573c6183c5f8aec12,0.058,148.64427650508597,1
0x93bfe685b10010e46b201bcb9dc88574a7c395efcf386b078a2fe135c2d58734,14372752,2022-03-12,1,0x95055292875f5c46a0410367fcb677fb9b9fbe91,0x606d4ec30f9f1dd6de2f8cbde2408c49a4e69bec,0x95055292875f5c46a0410367fcb677fb9b9fbe91,0x606d4ec30f9f1dd6de2f8cbde2408c49a4e69bec,0.0587,150.43825915256116,1
0xc189f6ee80261d463eb7180a567d755456c93658756b0ceafc853e2c86161357,14372687,2022-03-12,1,0x8b7ae9db845ff3eae47fe1070224f62e12b2aea9,0xb1172deea0ae29fc004f99dccf1c240b96ca9a2b,0x8b7ae9db845ff3eae47fe1070224f62e12b2aea9,0xb1172deea0ae29fc004f99dccf1c240b96ca9a2b,0.058,148.64427650508597,1
0xc0a2b07406937d6bc61c25fb71609e78bcbb7df799d4af55e53430120b5b84f5,14372614,2022-03-12,1,0x9bded86154da7255e3be244a842fad6aee0eedb0,0xd26233c25c1d5a4efdf83121af1ff832381b8c94,0x9bded86154da7255e3be244a842fad6aee0eedb0,0xd26233c25c1d5a4efdf83121af1ff832381b8c94,0.0585,149.92569268185397,1
0xd867b6036735a1a38082db78f97c19c40df580e785f1b7027a0ce247934b197b,14372585,2022-03-12,1,0xbe0600d2ac96a04b6eeb50ca882acb088d2be244,0x77a36f7ffb14b93c4d1ba0bb1d3aff3366636a5f,0xbe0600d2ac96a04b6eeb50ca882acb088d2be244,0x77a36f7ffb14b93c4d1ba0bb1d3aff3366636a5f,0.0585,149.92569268185397,1
0x7599d07ab33708b85909f58f74b9e6a5fa7c334fa0598d67d61bcaa19e5cc738,14372525,2022-03-12,1,0xedb2c477902e8b625571e57c83910b78e451961d,0xdccc7ea06742a88515f6a7df8696a79ee374076d,0xedb2c477902e8b625571e57c83910b78e451961d,0xdccc7ea06742a88515f6a7df8696a79ee374076d,0.058,148.64427650508597,1
0x06f7251e822f5d035a0b05f42a1fdf1a3b980e8686fddd4699848e3240b3b77d,14372509,2022-03-12,1,0x60c6c8449e1124fa126e5a5d4790c0cdebedd256,0xec9460a75130da847cb86207c20b91dbbc9b0eb8,0xec9460a75130da847cb86207c20b91dbbc9b0eb8,0x60c6c8449e1124fa126e5a5d4790c0cdebedd256,0.055,140.95577944447808,1
0x83dd7747983ec5db3be12d473e3b54341de94ff9aaa74ea968feab888b9a7d67,14372445,2022-03-12,1,0xd8c66b44d5b3883e4ca0b6d1bfa174d2b78a3224,0x1bc79d11b99a71ad7d586ea4cd6513609d2c374b,0xd8c66b44d5b3883e4ca0b6d1bfa174d2b78a3224,0x1bc79d11b99a71ad7d586ea4cd6513609d2c374b,0.06,153.7699412121579,1
0x731e40039924e77eec210ae028cc6a3db224d7e1d6dd6bdce54f12aa00f6f33f,14372437,2022-03-12,1,0x23a5ddb67089776cdd622d68f2534f6bce05320d,0x4bb0a44b3cb404470a7806718bf591b587d6bef0,0x23a5ddb67089776cdd622d68f2534f6bce05320d,0x4bb0a44b3cb404470a7806718bf591b587d6bef0,0.06,153.7699412121579,1
0x0f9fa13008e90175057a0d65f8e41e08e742387221aa1448ca50dd64bee4b2b4,14372419,2022-03-12,1,0xe61e83fb2ed21190575773f1d7f2210044155874,0x87a80785ebb41efdf428a89ea0a5151f8582fe73,0xe61e83fb2ed21190575773f1d7f2210044155874,0x87a80785ebb41efdf428a89ea0a5151f8582fe73,0.06,153.7699412121579,1
0x31e574a1cb8eeadb8aed7120cb86b56df3b41932c79ee0bef96e271e2c78b4d9,14372299,2022-03-12,1,0xf41fb7f03163a7810e39203a9b9b8b4c02145e00,0x9b7ec5d797210cdcd2716bd873a6965ca2133bef,0xf41fb7f03163a7810e39203a9b9b8b4c02145e00,0x9b7ec5d797210cdcd2716bd873a6965ca2133bef,0.063,161.4584382727658,1
0x92bf6c98699aa3d2a33cb4311c9465d60ed366d9b439a9a7a0d28bf2823d4ddf,14372262,2022-03-12,1,0xbdd95abe8a7694ccd77143376b0fbea183e6a740,0x8717d9ec73d71f68856fbae30997c7c1566411a9,0xbdd95abe8a7694ccd77143376b0fbea183e6a740,0x8717d9ec73d71f68856fbae30997c7c1566411a9,0.063,161.4584382727658,1
0x95600a950969132daba45c431aca7e763dd9436b956345f8c0c978aebc372314,14372253,2022-03-12,1,0x19e21db3abb299da0873760030b2269b4f8195f1,0x8717d9ec73d71f68856fbae30997c7c1566411a9,0x19e21db3abb299da0873760030b2269b4f8195f1,0x8717d9ec73d71f68856fbae30997c7c1566411a9,0.0629,161.20215503741218,1
